isolate,genus,extr_spec,corr_spec,mlst_ST,updated_ST,dnaA,fusA,gyrB,leuS,pyrG,rplB,rpoB,ST,format,type,num_seqs,sum_len,min_len,avg_len,max_len,Q1,Q2,Q3,sum_gap,N50,Q20...,Q30...,AvgQual,GC...,merge_ST
Enterobacter_asburiae_AR2284-yvys.fa,ecloacae,asburiae,asburiae,252,252,22,15,102,104,101,11,10,252,FASTA,DNA,4,5379346,"4,935","1,344,836.5","4,881,815","61,993","246,298","2,627,680",0,4881815,0,0,0,54.95,22_15_102_104_101_11_10
Enterobacter_asburiae_AR3345.fa,ecloacae,asburiae,asburiae,-,0,22,15,102,104,315,11,10,NA,FASTA,DNA,36,4683487,208,"130,096.9","891,351",467.5,"4,329","174,619",0,381346,0,0,0,55.62,22_15_102_104_315_11_10
Enterobacter_asburiae_AR3438.fa,ecloacae,asburiae,asburiae,-,0,490,14,293,108,286,10,60,NA,FASTA,DNA,33,4490655,212,"136,080.5","1,755,727",530,"1,906","139,141",0,806779,0,0,0,56.16,490_14_293_108_286_10_60
Enterobacter_asburiae_ATCC_35953.fa,ecloacae,asburiae,asburiae,807,807,255,166,280,313,255,11,166,807,FASTA,DNA,5,4806219,"13,716","961,243.8","4,713,742","16,554","17,562","44,645",0,4713742,0,0,0,55.47,255_166_280_313_255_11_166
Enterobacter_asburiae_BWH_31.fa,ecloacae,asburiae,asburiae,162,162,79,15,39,15,86,11,46,162,FASTA,DNA,11,5204871,"1,123","473,170.1","3,895,981","2,497.5","82,536","113,489",0,3895981,0,0,0,55.32,79_15_39_15_86_11_46
Enterobacter_asburiae_CAV1043.fa,ecloacae,asburiae,asburiae,23,23,22,15,39,17,47,11,10,23,FASTA,DNA,7,5031452,"1,919","718,778.9","4,753,402","30,862","58,427","77,990",0,4753402,0,0,0,55.48,22_15_39_17_47_11_10
Enterobacter_asburiae_CAV1043_GCF_003940765.1.fa,ecloacae,asburiae,NA,162,162,79,15,39,15,86,11,46,162,FASTA,DNA,1,5046183,"5,046,183","5,046,183","5,046,183","5,046,183","5,046,183","5,046,183",0,5046183,0,0,0,55.48,79_15_39_15_86_11_46
Enterobacter_asburiae_CORE_Ent12.fa,ecloacae,asburiae,asburiae,-,0,21,29,29,34,24,11,68,NA,FASTA,DNA,29,4905091,"1,330","169,141.1","1,413,452","22,927","81,755","172,423",0,505307,0,0,0,55.93,21_29_29_34_24_11_68
Enterobacter_asburiae_CRK0005.fa,ecloacae,asburiae,asburiae,-,0,24,14,287,191,135,11,15,NA,FASTA,DNA,24,4546950,809,"189,456.3","2,045,379","2,370","73,055.5","190,762.5",0,452377,0,0,0,56,24_14_287_191_135_11_15
Enterobacter_asburiae_CZ863.fa,ecloacae,asburiae,asburiae,1622,1622,22,15,102,104,101,11,295,1622,FASTA,DNA,6,4835825,"2,495","805,970.8","3,138,325","7,973","122,047","1,442,938",0,3138325,0,0,0,55.49,22_15_102_104_101_11_295
Enterobacter_asburiae_E.a101.fa,ecloacae,asburiae,unknown,-,0,475,202,415,498,464,144,101,NA,FASTA,DNA,2,4961339,"111,006","2,480,669.5","4,850,333","111,006","2,480,669.5","4,850,333",0,4850333,0,0,0,55.69,475_202_415_498_464_144_101
Enterobacter_asburiae_E124_11.fa,ecloacae,asburiae,asburiae,-,0,21,29,29,34,24,11,68,NA,FASTA,DNA,36,4779330,581,"132,759.2","659,449","9,670.5","80,747.5","127,728",0,345773,0,0,0,56.04,21_29_29_34_24_11_68
Enterobacter_asburiae_E2.fa,ecloacae,asburiae,asburiae,-,0,204,15,296,124,209,11,68,NA,FASTA,DNA,30,4512215,605,"150,407.2","748,472","20,790","94,068","174,690",0,379788,0,0,0,55.87,204_15_296_124_209_11_68
Enterobacter_asburiae_EA_75.fa,ecloacae,asburiae,asburiae,919,919,274,15,294,97,268,10,15,919,FASTA,DNA,22,4588704,684,"208,577.5","1,980,594","1,406","103,828.5","226,099",0,480083,0,0,0,55.92,274_15_294_97_268_10_15
Enterobacter_asburiae_EB00033.fa,ecloacae,asburiae,asburiae,-,0,494,320,251,589,438,11,21,NA,FASTA,DNA,20,4760436,854,"238,021.8","1,882,021","14,619","104,553","225,686.5",0,790337,0,0,0,55.8,494_320_251_589_438_11_21
Enterobacter_asburiae_EBRJ_12.fa,ecloacae,asburiae,asburiae,-,0,244,25,428,254,204,104,27,NA,FASTA,DNA,50,4842789,201,"96,855.8","2,818,795",255,282,658,0,2818795,0,0,0,55.61,244_25_428_254_204_104_27
Enterobacter_asburiae_EGD_AQ_BF12.fa,ecloacae,asburiae,asburiae,733,733,152,15,102,285,236,11,10,733,FASTA,DNA,29,4650456,515,"160,360.6","1,224,124","3,421","127,281","207,497",0,239084,0,0,0,55.73,152_15_102_285_236_11_10
Enterobacter_asburiae_En30.fa,ecloacae,asburiae,asburiae,1578,1578,229,14,235,519,98,11,16,1578,FASTA,DNA,3,5091405,"85,172","1,697,135","4,722,066","184,669.5","284,167","2,503,116.5",0,4722066,0,0,0,55.31,229_14_235_519_98_11_16
Enterobacter_asburiae_Ent261.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,2,5060521,"139,475","2,530,260.5","4,921,046","139,475","2,530,260.5","4,921,046",0,4921046,0,0,0,55.69,26_14_143_191_61_11_89
Enterobacter_asburiae_FDAARGOS_1056.fa,ecloacae,asburiae,asburiae,-,0,494,150,488,313,412,223,18,NA,FASTA,DNA,6,4957249,"2,941","826,208.2","4,761,878","20,087","40,775","90,793",0,4761878,0,0,0,55.38,494_150_488_313_412_223_18
Enterobacter_asburiae_FDAARGOS_1432.fa,ecloacae,asburiae,asburiae,-,0,27,14,205,97,98,41,15,NA,FASTA,DNA,4,4901371,"3,223","1,225,342.8","4,701,715","40,622","98,216.5","2,410,063.5",0,4701715,0,0,0,55.58,27_14_205_97_98_41_15
Enterobacter_asburiae_FDAARGOS_892.fa,ecloacae,asburiae,asburiae,807,807,255,166,280,313,255,11,166,807,FASTA,DNA,3,4767001,"4,783","1,589,000.3","4,717,539","24,731","44,679","2,381,109",0,4717539,0,0,0,55.55,255_166_280_313_255_11_166
Enterobacter_asburiae_GN02073.fa,ecloacae,asburiae,asburiae,685,685,223,15,235,259,219,11,137,685,FASTA,DNA,36,4423267,604,"122,868.5","1,304,181","1,127.5","29,830.5","120,706",0,483665,0,0,0,56.19,223_15_235_259_219_11_137
Enterobacter_asburiae_GN04222.fa,ecloacae,asburiae,asburiae,685,685,223,15,235,259,219,11,137,685,FASTA,DNA,32,4424073,545,"138,252.3","1,397,970","1,414","35,405.5","154,147.5",0,483950,0,0,0,56.19,223_15_235_259_219_11_137
Enterobacter_asburiae_HK1.fa,ecloacae,asburiae,asburiae,-,531,22,15,102,15,118,11,71,NA,FASTA,DNA,10,4534421,"4,719","453,442.1","2,526,249","81,597","166,018.5","474,449",0,2526249,0,0,0,55.78,22_15_102_15_118_11_71
Enterobacter_asburiae_HW15.fa,ecloacae,asburiae,asburiae,-,0,24,195,293,191,294,11,15,NA,FASTA,DNA,28,4487493,577,"160,267.6","2,573,808",960.5,"19,333","123,249.5",0,2573808,0,0,0,56.09,24_195_293_191_294_11_15
Enterobacter_asburiae_JBIWA002.fa,ecloacae,asburiae,asburiae,1585,1585,22,15,449,15,118,11,284,1585,FASTA,DNA,6,5207969,"6,794","867,994.8","4,837,633","8,798","55,391","243,962",0,4837633,0,0,0,55.55,22_15_449_15_118_11_284
Enterobacter_asburiae_JBIWA007.fa,ecloacae,asburiae,asburiae,1586,1586,422,15,448,521,166,196,283,1586,FASTA,DNA,5,4833066,"4,648","966,613.2","4,671,611","39,849","47,243","69,715",0,4671611,0,0,0,55.54,422_15_448_521_166_196_283
Enterobacter_asburiae_JGM58.fa,ecloacae,asburiae,asburiae,650,650,215,14,26,248,208,10,15,650,FASTA,DNA,15,4619755,874,"307,983.7","1,657,254","91,870","176,399","416,788.5",0,501168,0,0,0,55.93,215_14_26_248_208_10_15
Enterobacter_asburiae_KU-C2135.fa,ecloacae,asburiae,asburiae,1249,1249,347,15,39,134,47,65,10,1249,FASTA,DNA,6,4891373,"2,495","815,228.8","4,746,281","4,074","42,184","54,155",0,4746281,0,0,0,55.54,347_15_39_134_47_65_10
Enterobacter_asburiae_L1_GCF_000632395.1.fa,ecloacae,asburiae,asburiae,720,720,235,150,251,279,233,11,148,720,FASTA,DNA,1,4561905,"4,561,905","4,561,905","4,561,905","4,561,905","4,561,905","4,561,905",0,4561905,0,0,0,56.06,235_150_251_279_233_11_148
Enterobacter_asburiae_L1_delta-T1RM.fa,ecloacae,asburiae,asburiae,720,720,235,150,251,279,233,11,148,720,FASTA,DNA,1,4557120,"4,557,120","4,557,120","4,557,120","4,557,120","4,557,120","4,557,120",0,4557120,0,0,0,56.07,235_150_251_279_233_11_148
Enterobacter_asburiae_LH74.fa,ecloacae,asburiae,asburiae,644,644,190,25,31,243,204,11,134,644,FASTA,DNA,36,4858268,501,"134,951.9","1,006,511",769,"5,288.5","175,392.5",0,475165,0,0,0,55.7,190_25_31_243_204_11_134
Enterobacter_asburiae_MGH243.fa,ecloacae,asburiae,asburiae,29,29,28,14,27,55,20,10,15,29,FASTA,DNA,10,5033259,"1,498","503,325.9","3,953,597","28,028","64,137","299,333",0,3953597,0,0,0,55.17,28_14_27_55_20_10_15
Enterobacter_asburiae_MIN-029.fa,ecloacae,asburiae,asburiae,1602,1602,429,200,451,15,411,11,287,1602,FASTA,DNA,14,5076541,225,"362,610.1","3,233,646","1,329","20,879","108,686",0,3233646,0,0,0,55.46,429_200_451_15_411_11_287
Enterobacter_asburiae_MML4.fa,ecloacae,asburiae,asburiae,1057,1057,24,14,293,52,295,18,58,1057,FASTA,DNA,29,4588898,606,"158,237.9","2,074,065",762,"26,981","163,078",0,459265,0,0,0,55.95,24_14_293_52_295_18_58
Enterobacter_asburiae_MMl34.fa,ecloacae,asburiae,asburiae,1253,1253,22,225,376,428,337,65,236,1253,FASTA,DNA,18,4689699,693,"260,538.8","1,717,478","35,490","140,072","247,882",0,647601,0,0,0,55.85,22_225_376_428_337_65_236
Enterobacter_asburiae_N21-01785.fa,ecloacae,asburiae,asburiae,1639,1639,152,290,102,104,101,11,69,1639,FASTA,DNA,4,4775592,"1,402","1,193,898","4,579,676","23,761.5","97,257","2,364,034.5",0,4579676,0,0,0,55.74,152_290_102_104_101_11_69
Enterobacter_asburiae_NCR1.fa,ecloacae,asburiae,asburiae,-,0,229,14,26,148,294,10,58,NA,FASTA,DNA,15,4546475,"1,674","303,098.3","2,597,842","71,418.5","139,265","201,725",0,2597842,0,0,0,56.08,229_14_26_148_294_10_58
Enterobacter_asburiae_NFIX55.fa,ecloacae,asburiae,asburiae,650,650,215,14,26,248,208,10,15,650,FASTA,DNA,20,4552357,"1,285","227,617.9","782,511","55,640.5","142,447.5","383,604",0,402219,0,0,0,56.09,215_14_26_248_208_10_15
Enterobacter_asburiae_PDN3.fa,ecloacae,asburiae,asburiae,-,0,461,320,251,313,431,223,52,NA,FASTA,DNA,14,4625174,249,"330,369.6","2,726,074","2,002","90,820.5","244,607",0,2726074,0,0,0,55.93,461_320_251_313_431_223_52
Enterobacter_asburiae_RHBSTW-00074.fa,ecloacae,asburiae,asburiae,277,277,28,14,27,97,20,10,15,277,FASTA,DNA,23,5584401,243,"242,800","4,401,752",868,"10,313","58,133",0,4401752,0,0,0,55.3,28_14_27_97_20_10_15
Enterobacter_asburiae_RHBSTW-00209.fa,ecloacae,asburiae,asburiae,277,277,28,14,27,97,20,10,15,277,FASTA,DNA,10,5378233,824,"537,823.3","5,081,149","1,454","12,804.5","75,958",0,5081149,0,0,0,55.59,28_14_27_97_20_10_15
Enterobacter_asburiae_RHBSTW-00516.fa,ecloacae,asburiae,asburiae,-,0,167,15,235,149,431,11,15,NA,FASTA,DNA,1,4626378,"4,626,378","4,626,378","4,626,378","4,626,378","4,626,378","4,626,378",0,4626378,0,0,0,55.83,167_15_235_149_431_11_15
Enterobacter_asburiae_RHBSTW-00542.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,5,5178360,"3,708","1,035,672","4,919,282","6,149","8,608","240,613",0,4919282,0,0,0,55.5,23_15_23_16_28_11_11
Enterobacter_asburiae_RHBSTW-00831.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,6,5050660,"4,902","841,776.7","4,824,674","13,418","24,325.5","159,015",0,4824674,0,0,0,55.4,26_14_143_191_61_11_89
Enterobacter_asburiae_RHBSTW-01009.fa,ecloacae,asburiae,asburiae,807,807,255,166,280,313,255,11,166,807,FASTA,DNA,3,4660122,"2,722","1,553,374","4,586,750","36,686","70,650","2,328,700",0,4586750,0,0,0,55.51,255_166_280_313_255_11_166
Enterobacter_asburiae_SC91.fa,ecloacae,asburiae,asburiae,-,657,243,14,259,148,132,11,15,NA,FASTA,DNA,19,4579995,282,"241,052.4","2,626,801","4,429.5","81,574","168,577",0,2626801,0,0,0,56.03,243_14_259_148_132_11_15
Enterobacter_asburiae_SC92.fa,ecloacae,asburiae,asburiae,-,657,243,14,259,148,132,11,15,NA,FASTA,DNA,21,4580053,607,"218,097.8","1,474,794","7,692","98,981","213,676",0,937437,0,0,0,56.03,243_14_259_148_132_11_15
Enterobacter_asburiae_SD4L.fa,ecloacae,asburiae,asburiae,-,0,435,282,275,532,420,158,286,NA,FASTA,DNA,2,4659437,"85,271","2,329,718.5","4,574,166","85,271","2,329,718.5","4,574,166",0,4574166,0,0,0,55.88,435_282_275_532_420_158_286
Enterobacter_asburiae_TZW01.fa,ecloacae,asburiae,asburiae,-,0,84,150,488,279,431,11,148,NA,FASTA,DNA,45,4940293,"1,127","109,784.3","909,547","1,511","22,796","99,216",0,355075,0,0,0,55.3,84_150_488_279_431_11_148
Enterobacter_asburiae_TZW02.fa,ecloacae,asburiae,asburiae,-,0,84,150,488,279,431,11,148,NA,FASTA,DNA,26,4661786,"1,162","179,299.5","622,381","13,163","90,457","267,603",0,454690,0,0,0,55.67,84_150_488_279_431_11_148
Enterobacter_asburiae_TZW03.fa,ecloacae,asburiae,asburiae,650,650,215,14,26,248,208,10,15,650,FASTA,DNA,40,4631365,"1,037","115,784.1","1,317,161","2,292","20,184","138,340.5",0,336147,0,0,0,55.95,215_14_26_248_208_10_15
Enterobacter_asburiae_TZW04.fa,ecloacae,asburiae,asburiae,-,0,452,15,253,309,166,11,297,NA,FASTA,DNA,19,4800941,"1,185","252,681.1","998,679","62,187.5","194,971","322,087.5",0,396606,0,0,0,55.56,452_15_253_309_166_11_297
Enterobacter_asburiae_TZW05.fa,ecloacae,asburiae,asburiae,-,0,461,80,280,279,431,11,18,NA,FASTA,DNA,40,4747844,"1,159","118,696.1","612,544","16,804","80,433","141,914.5",0,231680,0,0,0,55.58,461_80_280_279_431_11_18
Enterobacter_asburiae_TZW06.fa,ecloacae,asburiae,asburiae,-,0,84,150,488,279,431,11,148,NA,FASTA,DNA,45,4684044,"1,017","104,089.9","729,392","8,201","33,464","127,638",0,311897,0,0,0,55.6,84_150_488_279_431_11_148
Enterobacter_asburiae_TZW07.fa,ecloacae,asburiae,asburiae,-,0,24,173,233,578,217,11,129,NA,FASTA,DNA,25,4795094,"1,117","191,803.8","1,335,024","2,211","94,595","237,971",0,502428,0,0,0,55.66,24_173_233_578_217_11_129
Enterobacter_asburiae_TZW08.fa,ecloacae,asburiae,asburiae,-,0,84,150,488,279,431,11,148,NA,FASTA,DNA,33,4792810,"1,017","145,236.7","909,214","1,511","29,106","212,553",0,470802,0,0,0,55.58,84_150_488_279_431_11_148
Enterobacter_asburiae_TZW09.fa,ecloacae,asburiae,asburiae,-,0,461,80,280,279,431,11,18,NA,FASTA,DNA,36,4746220,"1,043","131,839.4","612,544","4,394","80,483","185,661.5",0,323238,0,0,0,55.6,461_80_280_279_431_11_18
Enterobacter_asburiae_TZW10.fa,ecloacae,asburiae,asburiae,-,0,24,173,233,578,217,11,129,NA,FASTA,DNA,23,4879403,"1,379","212,148","1,384,159","3,554.5","97,959","288,990.5",0,502282,0,0,0,55.61,24_173_233_578_217_11_129
Enterobacter_asburiae_TZW11.fa,ecloacae,asburiae,asburiae,-,0,452,15,253,309,166,11,297,NA,FASTA,DNA,19,4803492,"1,185","252,815.4","998,739","62,187.5","194,971","322,087.5",0,396606,0,0,0,55.56,452_15_253_309_166_11_297
Enterobacter_asburiae_UCI193.fa,ecloacae,asburiae,asburiae,252,252,22,15,102,104,101,11,10,252,FASTA,DNA,18,5002792,"1,104","277,932.9","4,622,126","2,342","9,082","36,189",0,4622126,0,0,0,54.97,22_15_102_104_101_11_10
Enterobacter_asburiae_UCI_49.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,6,5014370,"2,397","835,728.3","3,792,859","2,856","103,555","1,009,148",0,3792859,0,0,0,55.66,26_14_143_191_61_11_89
Enterobacter_asburiae_WB01_D5_07.fa,ecloacae,asburiae,asburiae,-,0,235,320,280,313,431,223,18,NA,FASTA,DNA,30,4620945,542,"154,031.5","1,392,918","3,066","84,982","168,243",0,446766,0,0,0,55.83,235_320_280_313_431_223_18
Enterobacter_asburiae_WCHEA045006.fa,ecloacae,asburiae,asburiae,733,733,152,15,102,285,236,11,10,733,FASTA,DNA,34,4512178,201,"132,711.1","683,272","2,948","27,709","221,222",0,430678,0,0,0,55.99,152_15_102_285_236_11_10
Enterobacter_asburiae_WCHEA045073.fa,ecloacae,asburiae,asburiae,1673,1673,452,15,467,552,431,11,301,1673,FASTA,DNA,26,4669795,204,"179,607.5","1,016,274","1,630","61,553","254,845",0,632552,0,0,0,55.92,452_15_467_552_431_11_301
Enterobacter_asburiae_WCHEA045189.fa,ecloacae,asburiae,asburiae,-,0,204,15,296,124,209,11,68,NA,FASTA,DNA,32,4730828,228,"147,838.4","1,435,247","1,657","27,566","208,412.5",0,357693,0,0,0,55.76,204_15_296_124_209_11_68
Enterobacter_asburiae_WCHEA090034.fa,ecloacae,asburiae,asburiae,-,0,204,15,296,124,209,11,68,NA,FASTA,DNA,32,4730697,228,"147,834.3","1,435,247","1,657","27,566.5","208,412.5",0,357693,0,0,0,55.76,204_15_296_124_209_11_68
Enterobacter_asburiae_WCHEA090058.fa,ecloacae,asburiae,asburiae,879,879,152,15,102,15,101,11,133,879,FASTA,DNA,30,4618376,216,"153,945.9","797,647","2,956","27,437.5","204,650",0,537131,0,0,0,55.89,152_15_102_15_101_11_133
Enterobacter_asburiae_WW-19C.fa,ecloacae,asburiae,asburiae,1407,1407,24,245,43,52,27,18,21,1407,FASTA,DNA,9,5334891,"1,282","592,765.7","4,811,497","3,872","4,935","139,140",0,4811497,0,0,0,55.05,24_245_43_52_27_18_21
Enterobacter_asburiae_e1044.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,47,5043592,377,"107,310.5","513,486","8,092.5","35,208","147,872.5",0,277176,0,0,0,55.54,23_15_23_16_28_11_11
Enterobacter_asburiae_e1087.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,35,4646134,309,"132,746.7","827,460","9,908.5","64,655","173,879.5",0,319322,0,0,0,55.78,23_15_23_16_28_11_11
Enterobacter_asburiae_e2022.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,47,5032991,343,"107,084.9","672,182","6,210.5","56,103","174,703",0,236339,0,0,0,55.57,23_15_23_16_28_11_11
Enterobacter_asburiae_e545.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,50,5068080,342,"101,361.6","563,562","7,921","43,026","140,161",0,232385,0,0,0,55.52,23_15_23_16_28_11_11
Enterobacter_asburiae_e621.fa,ecloacae,asburiae,asburiae,24,24,23,15,23,16,28,11,11,24,FASTA,DNA,50,5067956,370,"101,359.1","449,436","18,539","52,462","140,297",0,228290,0,0,0,55.5,23_15_23_16_28_11_11
Enterobacter_asburiae_mucsiC3.fa,ecloacae,asburiae,asburiae,531,531,22,15,102,15,118,11,71,531,FASTA,DNA,19,4568918,840,"240,469.4","1,821,959","10,464.5","81,615","226,396.5",0,796800,0,0,0,55.84,22_15_102_15_118_11_71
